date,valid_pixels,baseline_median_c,mad_c,threshold_c,hotspot_pixels,hotspot_fraction,mean_anomaly_hot_pixels,has_night_pair,mean_night_cooling_c
2025-01-01,1397570,31.200851440429688,1.3123207092285156,2.4843990325927745,139757,0.1,3.132155656814575,True,7.287063121795654
2025-01-02,1397570,29.546409606933594,1.8522939682006836,3.3899658203125007,139757,0.1,4.50367546081543,True,4.162367343902588
2025-01-03,1397570,31.677656173706055,0.9801807403564453,2.0721687316894535,139757,0.1,2.6691219806671143,True,7.397424221038818
2025-01-04,1397570,29.109588623046875,1.8820018768310547,3.6736301422119144,139757,0.1,4.907366752624512,True,6.059484004974365
2025-01-05,1397570,28.514694213867188,2.1152544021606445,4.100907135009766,139757,0.1,5.5380096435546875,True,-0.8107605576515198
2025-01-06,1397570,31.603208541870117,1.1064910888671875,2.352113723754883,139758,0.10000071552766587,3.0273516178131104,True,5.031017303466797
2025-01-07,1397570,32.03396987915039,1.0924243927001953,2.4348358154296896,139757,0.1,3.8606269359588623,True,4.187152862548828
2025-01-08,1397570,31.813987731933594,0.9297885894775391,2.006328964233399,139757,0.1,2.629547357559204,True,1.6904162168502808
2025-01-09,1397570,30.11545753479004,2.0206775665283203,3.6325248718261722,139757,0.1,4.751857757568359,True,4.81920051574707
2025-01-10,1397570,31.187904357910156,1.4796037673950195,2.643868637084962,139757,0.1,3.650554656982422,True,2.050597667694092
2025-01-14,1397570,31.831451416015625,1.0348625183105469,2.037403106689453,139758,0.10000071552766587,2.6564459800720215,False,nan
2025-01-16,1397570,31.81604766845703,0.9165306091308594,1.9688720703125,139758,0.10000071552766587,2.7795586585998535,True,5.652385711669922
2025-01-17,1397570,31.689990997314453,1.0098838806152344,2.143239593505861,139757,0.1,2.7974328994750977,False,nan
2025-01-20,1397570,31.756404876708984,0.9238376617431641,2.0126724243164062,139758,0.10000071552766587,2.641409397125244,True,5.956624507904053
2025-01-21,1397570,29.311107635498047,2.7976388931274414,3.9600986480712894,139757,0.1,4.857579231262207,True,0.8379504084587097
