date,valid_pixels,baseline_median_c,mad_c,threshold_c,hotspot_pixels,hotspot_fraction,mean_anomaly_hot_pixels,has_night_pair,mean_night_cooling_c
2025-01-01,1397570,31.200851440429688,1.3123207092285156,2.4843990802764893,139757,0.1,3.132155656814575,True,7.28706169128418
2025-01-02,1397570,29.546409606933594,1.8522939682006836,3.389965772628784,139757,0.1,4.5036749839782715,True,4.162367343902588
2025-01-03,1397570,31.677656173706055,0.9801807403564453,2.0721688270568848,139757,0.1,2.669121742248535,True,7.397424221038818
2025-01-04,1397570,29.109588623046875,1.8820018768310547,3.6736302375793457,139757,0.1,4.907366752624512,True,6.059484481811523
2025-01-05,1397570,28.514694213867188,2.1152544021606445,4.100907325744629,139757,0.1,5.538008689880371,True,-0.8107603788375854
2025-01-06,1397570,31.603208541870117,1.1064910888671875,2.352113723754883,139758,0.10000071552766587,3.0273518562316895,True,5.031016826629639
2025-01-07,1397570,32.03396987915039,1.0924243927001953,2.434835910797119,139757,0.1,3.8606269359588623,True,4.187152862548828
2025-01-08,1397570,31.813987731933594,0.9297885894775391,2.00632905960083,139757,0.1,2.629547119140625,True,1.690415859222412
2025-01-09,1397570,30.11545753479004,2.0206775665283203,3.6325249671936035,139757,0.1,4.751857757568359,True,4.819199085235596
2025-01-10,1397570,31.187904357910156,1.4796037673950195,2.6438686847686768,139757,0.1,3.650554656982422,True,2.0505971908569336
2025-01-14,1397570,31.831451416015625,1.0348625183105469,2.037403106689453,139758,0.10000071552766587,2.6564457416534424,False,nan
2025-01-16,1397570,31.81604766845703,0.9165306091308594,1.9688720703125,139758,0.10000071552766587,2.7795586585998535,True,5.6523847579956055
2025-01-17,1397570,31.689990997314453,1.0098838806152344,2.1432394981384277,139757,0.1,2.7974326610565186,False,nan
2025-01-20,1397570,31.756404876708984,0.9238376617431641,2.0126724243164062,139758,0.10000071552766587,2.6414096355438232,True,5.956625938415527
2025-01-21,1397570,29.311107635498047,2.7976388931274414,3.9600987434387207,139757,0.1,4.857579231262207,True,0.8379500508308411
2025-01-22,1397570,31.807153701782227,1.0102291107177734,2.040877103805542,139757,0.1,2.71370530128479,False,nan
2025-01-24,1397570,31.313730239868164,1.3910903930664062,2.8424861431121826,139757,0.1,3.8916189670562744,False,nan
2025-01-26,1397570,28.526514053344727,1.9172430038452148,4.086742877960205,139757,0.1,5.318502426147461,True,5.950985908508301
2025-01-27,1397570,29.74810791015625,1.6222667694091797,3.3975682258605957,139757,0.1,4.415438652038574,False,nan
2025-01-28,1397570,32.7073974609375,1.7791881561279297,4.883056640625,139758,0.10000071552766587,6.68594217300415,False,nan
2025-01-31,1397570,31.818674087524414,1.0002021789550781,2.002553939819336,139761,0.1000028621106635,2.616856813430786,False,nan
