date,t_index,landsat_valid_frac,modis_valid_frac,viirs_valid_frac,static_valid_frac,ok
2018-01-14,1109,0.9896463518323702,0.0,0.510943396226415,0.5046075859981842,True
2018-01-30,1125,0.9632538801861913,0.0,0.5090566037735849,0.5046075859981842,True
2018-02-15,1141,0.44143188597944977,0.0,0.22943396226415094,0.5046075859981842,True
2018-03-03,1157,0.9900934559236788,0.0,0.5120754716981132,0.5046075859981842,True
2018-03-19,1173,0.7434869075240305,0.0,0.4784905660377359,0.5046075859981842,True
2018-04-04,1189,0.5411256503004712,0.0,0.389811320754717,0.5046075859981842,True
2018-04-20,1205,0.7731690709169777,0.0,0.1781132075471698,0.5046075859981842,True
2018-05-06,1221,0.15702684786211468,0.0,0.0,0.5046075859981842,False
2018-05-22,1237,0.27501405081350605,0.0,0.0,0.5046075859981842,False
2018-06-07,1253,0.8496624201985848,0.0,0.0,0.5046075859981842,False
2018-06-23,1269,0.0,0.0,0.0,0.5046075859981842,False
2018-07-09,1285,0.0,0.0,0.0,0.5046075859981842,False
2018-07-25,1301,0.7313715035091006,0.0,0.43924528301886795,0.5046075859981842,True
2018-08-10,1317,0.1748371546742373,0.0,0.08716981132075471,0.5046075859981842,False
2018-08-26,1333,0.0,0.0,0.0,0.5046075859981842,False
2018-09-11,1349,0.9640497326742661,0.0,0.47320754716981134,0.5046075859981842,True
2018-09-27,1365,0.20015600005764436,0.0,0.42,0.5046075859981842,False
2018-10-13,1381,0.5728520269199175,0.0,0.47094339622641507,0.5046075859981842,True
2018-10-29,1397,0.05820459425573922,0.0,0.026415094339622643,0.5046075859981842,False
2018-11-14,1413,0.6190096698419103,0.0,0.27622641509433965,0.5046075859981842,True
2018-11-30,1429,0.21174539925926994,0.0,0.22905660377358492,0.5046075859981842,False
2018-12-16,1445,0.1679364038564079,0.0,0.0,0.5046075859981842,False
2019-01-01,1461,0.719664653917655,0.0,0.4569811320754717,0.5046075859981842,True
2019-01-17,1477,0.6549920018446196,0.0,0.44150943396226416,0.5046075859981842,True
2019-02-02,1493,0.35836383680880807,0.0,0.30754716981132074,0.5046075859981842,True
2019-02-18,1509,0.9043449438688014,0.0,0.3569811320754717,0.5046075859981842,True
2019-03-06,1525,0.9808620714501881,0.0,0.5049056603773585,0.5046075859981842,True
2019-03-22,1541,0.519023360378147,0.0,0.43433962264150944,0.5046075859981842,True
2019-04-07,1557,0.9698354253433442,0.0,0.5120754716981132,0.5046075859981842,True
2019-04-23,1573,0.7079149313311525,0.0,0.43245283018867925,0.5046075859981842,True
2019-05-09,1589,0.26062241501059213,0.0,0.16,0.5046075859981842,False
2019-05-25,1605,0.3232627430070182,0.0,0.0,0.5046075859981842,False
2019-06-10,1621,0.0010685823810004178,0.0,0.0,0.5046075859981842,False
2019-06-26,1637,0.307911688835728,0.0,0.015471698113207547,0.5046075859981842,False
2019-07-12,1653,0.44209263449150465,0.0,0.05132075471698113,0.5046075859981842,True
