region_id,area_pixels,area_ha,hotspot_frequency_mean,mean_excess_heat_c,hotspot_score_mean,mean_night_cooling_c,cooling_deficit_c,centroid_y,centroid_x
1,49,4.41,0.3531636595726013,3.1927573680877686,1.1323856115341187,1.6276355981826782,5.3219075202941895,50.53061224489796,1395.9183673469388
2,127,11.43,0.3605022132396698,3.149397373199463,1.1407392024993896,2.8271286487579346,4.122415065765381,123.5748031496063,1460.8110236220473
3,40,3.5999999999999996,0.35453668236732483,3.0975074768066406,1.1041685342788696,1.3596709966659546,5.589871883392334,125.925,1415.675
4,41,3.69,0.3824276924133301,3.371166229248047,1.296600103378296,3.3563830852508545,3.5931601524353027,160.8780487804878,1465.3658536585365
5,28,2.52,0.3454219698905945,3.4144155979156494,1.1850602626800537,4.43572998046875,2.5138132572174072,184.92857142857142,1467.607142857143
6,35,3.15,0.3291781544685364,3.2859585285186768,1.0827478170394897,1.8238455057144165,5.125697612762451,242.05714285714285,1368.5714285714287
7,220,19.8,0.3697437644004822,3.1948835849761963,1.1905709505081177,3.0988857746124268,3.8506569862365723,246.47727272727272,1458.8818181818183
8,34,3.06,0.3459005057811737,3.040501117706299,1.0560212135314941,1.6907364130020142,5.2588067054748535,245.38235294117646,1357.1764705882354
9,143,12.87,0.36733534932136536,4.394469738006592,1.615665078163147,6.009332180023193,0.9402112364768982,327.7902097902098,1266.937062937063
10,230,20.7,0.4076884388923645,4.69503116607666,1.9252729415893555,5.945098400115967,1.0044448375701904,341.495652173913,1251.2608695652175
11,31,2.79,0.3329181671142578,4.644782066345215,1.546351432800293,6.0121564865112305,0.9373874068260193,344.16129032258067,1120.6451612903227
12,94,8.459999999999999,0.38158223032951355,4.519707679748535,1.7270731925964355,6.22884464263916,0.775661051273346,357.01063829787233,1110.5531914893618
13,79,7.109999999999999,0.39675480127334595,4.278982162475586,1.706522822380066,6.285276889801025,0.7201696038246155,372.253164556962,1108.379746835443
14,149,13.41,0.36353036761283875,4.055263519287109,1.4782823324203491,7.2189040184021,8.128953777486458e-05,378.77852348993287,1074.510067114094
15,76,6.84,0.38904693722724915,4.865744113922119,1.8904454708099365,5.983043670654297,0.9664998054504395,394.5921052631579,1163.5131578947369
16,231,20.79,0.4410904347896576,4.6236419677734375,2.0381858348846436,5.80800199508667,1.141541838645935,406.42857142857144,1188.4329004329004
17,34,3.06,0.3707699477672577,4.03137731552124,1.4918830394744873,5.93582010269165,1.0137221813201904,417.79411764705884,1176.8529411764705
18,27,2.4299999999999997,0.33033034205436707,3.1239254474639893,1.033722162246704,2.7086141109466553,4.240929126739502,421.74074074074076,1371.2592592592594
19,48,4.32,0.42816925048828125,4.450891971588135,1.923527717590332,5.9548821449279785,0.9946610331535339,425.1875,1223.0208333333333
20,1775,159.75,0.46073630452156067,5.443105220794678,2.507168769836426,6.3080949783325195,0.6416048407554626,466.3667605633803,1221.620281690141
21,84,7.56,0.33259791135787964,3.0344080924987793,1.0101840496063232,2.982379198074341,3.967163562774658,450.75,1498.5714285714287
22,40,3.5999999999999996,0.33079153299331665,3.4158401489257812,1.1317164897918701,3.284960985183716,3.6645820140838623,450.85,1288.0
23,129,11.61,0.42198678851127625,4.71815299987793,1.991127610206604,6.403438091278076,0.5461049675941467,458.4651162790698,1184.4031007751937
24,27,2.4299999999999997,0.38223937153816223,4.349640846252441,1.664845585823059,5.409505367279053,1.5400373935699463,454.22222222222223,1092.037037037037
25,236,21.24,0.46202799677848816,4.785109996795654,2.22863507270813,6.5309529304504395,0.41858965158462524,467.47033898305085,1153.3728813559321
26,129,11.61,0.4416210651397705,4.667042255401611,2.070006847381592,5.906159400939941,1.043383240699768,470.52713178294573,1075.9922480620155
27,192,17.28,0.3434685170650482,3.250635862350464,1.1194357872009277,2.900629758834839,4.048913478851318,481.1041666666667,1340.5572916666667
28,2007,180.63,0.4593420922756195,5.572341442108154,2.565683126449585,6.537154197692871,0.5460033416748047,497.678624813154,1254.723966118585
29,137,12.33,0.3646816611289978,3.364992618560791,1.2325365543365479,1.2694967985153198,5.680046081542969,482.8759124087591,1397.2919708029196
30,89,8.01,0.34501758217811584,3.8441803455352783,1.3320672512054443,3.3819923400878906,3.5675504207611084,482.35955056179773,1319.1348314606741
31,889,80.00999999999999,0.3908560574054718,3.439361333847046,1.36317777633667,1.6853450536727905,5.264197826385498,492.8166479190101,1442.429696287964
32,191,17.189999999999998,0.3777112662792206,4.877785682678223,1.8412129878997803,6.079219341278076,0.8703235983848572,488.16230366492147,1094.1204188481674
33,579,52.11,0.3906082510948181,3.3768229484558105,1.3316688537597656,2.0798251628875732,4.869718074798584,499.6580310880829,1367.7599309153713
34,78,7.02,0.31967130303382874,3.8005876541137695,1.215211033821106,4.163973331451416,2.785569906234741,497.9871794871795,1309.1538461538462
35,72,6.4799999999999995,0.3861004114151001,4.410632133483887,1.702353596687317,5.894571304321289,1.054971694946289,495.65277777777777,1067.486111111111
36,324,29.16,0.4143667221069336,5.272182464599609,2.185239553451538,6.692728519439697,0.4086611270904541,508.5833333333333,1171.3271604938273
37,95,8.549999999999999,0.433123379945755,4.707461833953857,2.048335075378418,6.056059837341309,0.89348304271698,506.7368421052632,1108.778947368421
38,27,2.4299999999999997,0.3343343138694763,3.962723731994629,1.3253343105316162,4.417276382446289,2.532266855239868,504.14814814814815,1300.5185185185185
39,88,7.92,0.3797385096549988,5.212583541870117,1.9756240844726562,6.408413887023926,0.541129469871521,507.95454545454544,1145.284090909091
40,168,15.12,0.3741726577281952,4.184284210205078,1.5755178928375244,6.824215888977051,0.13557441532611847,515.9285714285714,936.2202380952381
41,725,65.25,0.4426734149456024,4.598598957061768,2.076631546020508,6.307901859283447,0.6459504961967468,539.0027586206896,1003.8124137931035
42,79,7.109999999999999,0.3576071560382843,5.351744651794434,1.9109985828399658,6.563429355621338,0.38791969418525696,518.8607594936709,1335.4683544303798
43,216,19.439999999999998,0.3421993553638458,6.572445869445801,2.2462124824523926,7.616837024688721,0.0,528.2407407407408,1153.9907407407406
44,156,14.04,0.37850213050842285,5.171152591705322,1.9552295207977295,5.2337965965271,1.7157459259033203,519.025641025641,1392.320512820513
45,183,16.47,0.40245163440704346,4.250468730926514,1.7264405488967896,7.042620658874512,0.022004546597599983,524.311475409836,961.3661202185792
46,98,8.82,0.4435032308101654,6.153550148010254,2.6894795894622803,7.897950649261475,0.0,522.7142857142857,1214.3673469387754
47,152,13.68,0.3727138936519623,5.1227827072143555,1.9132875204086304,5.811951637268066,1.1375917196273804,527.3947368421053,1456.842105263158
48,63,5.67,0.35747992992401123,6.4074387550354,2.2805092334747314,7.521811485290527,0.0,523.7142857142857,1235.2222222222222
49,188,16.919999999999998,0.4152427315711975,6.499599456787109,2.6925466060638428,7.263779640197754,0.013290912844240665,533.2393617021277,1286.1329787234042
50,136,12.24,0.36381444334983826,5.396588325500488,1.9595332145690918,7.003301620483398,0.09826979786157608,529.7426470588235,1368.264705882353
51,41,3.69,0.37941426038742065,6.290436744689941,2.3739609718322754,7.627285003662109,0.0,528.7560975609756,1179.5365853658536
52,625,56.25,0.45856988430023193,6.081127166748047,2.74951171875,7.742906093597412,0.0,544.856,1242.4736
53,87,7.83,0.39613014459609985,5.951412677764893,2.3533945083618164,6.983509063720703,0.0484233982861042,544.1494252873563,1340.1149425287356
54,70,6.3,0.38019856810569763,6.214790344238281,2.3516647815704346,7.711623668670654,0.0,554.6285714285714,1184.5142857142857
55,468,42.12,0.3982526361942291,6.631969451904297,2.636669158935547,7.646412372589111,0.0,563.6666666666666,1257.912393162393
56,41,3.69,0.3553065359592438,3.8374366760253906,1.3686070442199707,6.419177532196045,0.5303659439086914,563.9268292682926,954.1951219512196
57,148,13.32,0.36755192279815674,5.489245414733887,2.0157294273376465,6.488781929016113,0.47133833169937134,571.8986486486486,1420.4256756756756
58,509,45.809999999999995,0.36546790599823,3.9158453941345215,1.440118432044983,6.20866060256958,0.7408825755119324,574.2750491159136,930.6738703339882
59,96,8.64,0.42277991771698,6.103107452392578,2.535038709640503,7.775390148162842,0.0,571.9791666666666,1242.0416666666667
60,42,3.78,0.3485015630722046,5.388846397399902,1.8735636472702026,7.595559120178223,0.0,568.5952380952381,1400.2380952380952
61,93,8.37,0.4022916853427887,6.200120449066162,2.458923578262329,7.514790058135986,0.0,581.741935483871,1271.4623655913979
62,120,10.799999999999999,0.35601672530174255,3.8838860988616943,1.389054536819458,5.2326507568359375,1.7168922424316406,583.3416666666667,889.95
63,232,20.88,0.41016510128974915,5.903111457824707,2.4094293117523193,7.441333293914795,0.04482286795973778,593.3448275862069,1409.155172413793
