region_id,intervention,area_ha,hotspot_score_mean,mean_excess_heat_c,mean_night_cooling_c,cooling_deficit_c,cooling_leverage_factor,feasible_fraction,proxy_mean_cooling_c,proxy_max_cooling_c,proxy_hotspot_freq_reduction_pct,priority_score,intervention_code
198,urban_greening,314.01,2.83217453956604,6.364302158355713,8.504806518554688,0.00021219458722043782,1.0002121945872204,1.0,2.0755727291107178,2.947221279144287,32.612730782835186,1846.263118628695,2
396,urban_greening,374.21999999999997,2.422938346862793,5.949203014373779,9.166698455810547,0.0,1.0,1.0,1.963505744934082,2.3252649307250977,33.00451741502325,1780.3341977586426,2
28,urban_greening,180.63,2.565683126449585,5.572341442108154,6.537154197692871,0.5460033416748047,1.5460033416748047,1.0,2.0025956630706787,2.615187168121338,35.93813630905301,1434.817283779306,2
20,urban_greening,159.75,2.507168769836426,5.443105220794678,6.3080949783325195,0.6416048407554626,1.6416048407554626,1.0,1.9865719079971313,2.342080593109131,36.49703298785574,1306.1629186675946,2
432,urban_greening,167.85,3.0017101764678955,6.17754602432251,7.884054183959961,0.08248727768659592,1.082487277686596,1.0,2.1219987869262695,2.740555763244629,34.350189841912005,1157.3321968559078,2
31,urban_greening,80.00999999999999,1.36317777633667,3.439361333847046,1.6853450536727905,5.264197826385498,6.264197826385498,1.0,1.6732972860336304,1.871558666229248,48.65139552412159,1143.2345444796667,2
105,urban_greening,84.50999999999999,3.4268219470977783,5.886173725128174,6.484411239624023,0.5545251965522766,1.5545251965522766,1.0,2.238412857055664,2.630337715148926,38.02831791219213,1007.7147113616884,2
236,urban_greening,84.96,2.5627832412719727,5.661942958831787,5.664806365966797,1.2870529890060425,2.2870529890060425,1.0,2.0018012523651123,2.306302547454834,35.355376536293086,996.8356530311411,2
166,urban_greening,181.89,2.5813934803009033,5.277288436889648,8.475383758544922,0.0,1.0,1.0,2.0068976879119873,2.528754234313965,38.02895581532439,942.297989324874,2
370,urban_greening,101.07,3.7217092514038086,7.124109745025635,7.356940269470215,0.05171409994363785,1.0517140999436378,1.0,2.3191657066345215,2.8846700191497803,32.55376165778278,917.4748848449864,2
405,urban_greening,125.91,3.1542606353759766,7.664806842803955,8.250673294067383,0.0022491321433335543,1.0022491321433336,1.0,2.163773536682129,2.5574355125427246,28.22998127752653,861.2818470941368,2
329,urban_greening,72.45,3.3806512355804443,6.804744720458984,6.627647399902344,0.5039011240005493,1.5039011240005493,1.0,2.224696159362793,2.950000047683716,32.693308136513544,819.4618653044528,2
226,urban_greening,86.67,2.4676191806793213,5.739223480224609,6.088035583496094,0.9046643376350403,1.9046643376350403,1.0,1.9757413864135742,2.4708497524261475,34.425238766556134,804.8139238930245,2
285,urban_greening,76.32,4.018851280212402,7.658563613891602,7.467705726623535,0.0005781318759545684,1.0005781318759546,1.0,2.397078514099121,2.950000047683716,31.29932236576509,735.6539360994033,2
146,urban_greening,158.13,2.381742238998413,5.4665985107421875,8.099642753601074,0.0,1.0,1.0,1.952224612236023,2.4866299629211426,35.71187107302259,735.2563998544905,2
184,urban_greening,130.59,2.7276134490966797,5.915049076080322,8.15213394165039,0.0,1.0,1.0,2.046938896179199,2.503509283065796,34.60561137956995,729.117670407666,2
315,urban_greening,63.72,4.347110271453857,7.341765880584717,7.419647216796875,0.008302003145217896,1.008302003145218,1.0,2.490013837814331,2.950000047683716,33.91573469264618,695.4546489702317,2
266,urban_greening,70.64999999999999,4.028669834136963,6.879852771759033,7.69495153427124,0.006893571466207504,1.0068935714662075,1.0,2.4032249450683594,2.9029877185821533,34.93134264345464,688.7344937106488,2
33,urban_greening,52.11,1.3316688537597656,3.3768229484558105,2.0798251628875732,4.869718074798584,5.869718074798584,1.0,1.6646687984466553,1.843124270439148,49.29689308134715,678.0510568403265,2
397,urban_greening,86.39999999999999,3.1525628566741943,6.418039321899414,7.367729663848877,0.14381356537342072,1.1438135653734207,1.0,2.163308620452881,2.6878697872161865,33.70669003337691,673.9865356637848,2
358,urban_greening,80.46,3.6163597106933594,7.791780471801758,7.732020378112793,0.0015133365523070097,1.001513336552307,1.0,2.290316343307495,2.776313304901123,29.394005023576934,667.4271351147389,2
248,urban_greening,94.05,2.986891746520996,6.56116247177124,6.974574089050293,0.0849388912320137,1.0849388912320137,1.0,2.117940664291382,2.597426176071167,32.279960653369194,645.5016384584837,2
355,urban_greening,69.21,3.8006749153137207,8.605916976928711,7.592765808105469,0.0005225124768912792,1.0005225124768913,1.0,2.340790033340454,2.8715522289276123,27.19977475515733,616.0541654526286,2
400,urban_greening,127.89,2.4438953399658203,6.373117446899414,8.595735549926758,0.0,1.0,1.0,1.9692448377609253,2.2088632583618164,30.89923972323753,615.4870310176781,2
177,urban_greening,48.33,1.7108322381973267,4.480990886688232,3.982255458831787,2.967287540435791,3.967287540435791,1.0,1.7685000896453857,1.9282722473144531,39.4667191780975,580.1268748354502,2
86,urban_greening,99.27,2.7544169425964355,6.229842662811279,7.644106388092041,0.02539564110338688,1.0253956411033869,1.0,2.05427885055542,2.6595959663391113,32.97481111069354,575.9682779745508,2
