region_id,intervention,area_ha,hotspot_score_mean,mean_excess_heat_c,mean_night_cooling_c,cooling_deficit_c,cooling_leverage_factor,feasible_fraction,proxy_mean_cooling_c,proxy_max_cooling_c,proxy_hotspot_freq_reduction_pct,priority_score
1,cool_roof,4.41,1.1323856115341187,3.1927573680877686,1.6276355981826782,5.3219075202941895,6.3219075202941895,1.0,1.353715181350708,1.4275012016296387,42.39956330165752,42.73742678239064
1,urban_greening,4.41,1.1323856115341187,3.1927573680877686,1.6276355981826782,5.3219075202941895,6.3219075202941895,1.0,1.6100963354110718,1.7002792358398438,50.429649039551144,50.83150074343383
1,cool_pavement,4.41,1.1323856115341187,3.1927573680877686,1.6276355981826782,5.3219075202941895,6.3219075202941895,1.0,0.9973340630531311,1.0547232627868652,31.237389756631032,31.48630678337268
2,cool_roof,11.43,1.1407392024993896,3.149397373199463,2.8271286487579346,4.122415065765381,5.122415065765381,1.0,1.3555868864059448,1.4662086963653564,43.04273884082174,90.53879752315261
2,urban_greening,11.43,1.1407392024993896,3.149397373199463,2.8271286487579346,4.122415065765381,5.122415065765381,1.0,1.6123839616775513,1.7475883960723877,51.1965868581244,107.69011304243777
2,cool_pavement,11.43,1.1407392024993896,3.149397373199463,2.8271286487579346,4.122415065765381,5.122415065765381,1.0,0.9987897276878357,1.0848289728164673,31.71367754946618,66.70853917972595
3,cool_roof,3.5999999999999996,1.1041685342788696,3.0975074768066406,1.3596709966659546,5.589871883392334,6.589871883392334,1.0,1.3473931550979614,1.4249505996704102,43.49927046784886,35.29467406600535
3,urban_greening,3.5999999999999996,1.1041685342788696,3.0975074768066406,1.3596709966659546,5.589871883392334,6.589871883392334,1.0,1.6023693084716797,1.6971617937088013,51.73092625182729,41.97371959468394
3,cool_pavement,3.5999999999999996,1.1041685342788696,3.0975074768066406,1.3596709966659546,5.589871883392334,6.589871883392334,1.0,0.9924168586730957,1.0527393817901611,32.03920785031398,25.9961462858472
4,cool_roof,3.69,1.296600103378296,3.371166229248047,3.3563830852508545,3.5931601524353027,4.593160152435303,1.0,1.3905079364776611,1.4631500244140625,41.247089046327446,30.557475943148038
4,urban_greening,3.69,1.296600103378296,3.371166229248047,3.3563830852508545,3.5931601524353027,4.593160152435303,1.0,1.6550651788711548,1.7438499927520752,49.09473654879143,36.371323788204656
4,cool_pavement,3.69,1.296600103378296,3.371166229248047,3.3563830852508545,3.5931601524353027,4.593160152435303,1.0,1.0259507894515991,1.082450032234192,30.433111857567518,22.54605367225434
5,cool_roof,2.52,1.1850602626800537,3.4144155979156494,4.43572998046875,2.5138132572174072,3.5138132572174072,1.0,1.365517258644104,1.4621117115020752,39.99270796084965,14.329031816500828
5,urban_greening,2.52,1.1850602626800537,3.4144155979156494,4.43572998046875,2.5138132572174072,3.5138132572174072,1.0,1.6245211362838745,1.7425810098648071,47.57830702494369,17.046884542128396
5,cool_pavement,2.52,1.1850602626800537,3.4144155979156494,4.43572998046875,2.5138132572174072,3.5138132572174072,1.0,1.0065133571624756,1.081642508506775,29.478349319189725,10.561830564364246
6,cool_roof,3.15,1.0827478170394897,3.2859585285186768,1.8238455057144165,5.125697612762451,6.125697612762451,1.0,1.342593789100647,1.3758459091186523,40.85851289504538,28.050335430857597
6,urban_greening,3.15,1.0827478170394897,3.2859585285186768,1.8238455057144165,5.125697612762451,6.125697612762451,1.0,1.5965033769607544,1.6371450424194336,48.58562161100872,33.35517831513591
6,cool_pavement,3.15,1.0827478170394897,3.2859585285186768,1.8238455057144165,5.125697612762451,6.125697612762451,1.0,0.9886841773986816,1.0145468711853027,30.088151412074712,20.65622754727011
